entity_name,sales_source_system,sales_source_id,debt_source_system,debt_source_id,sale_price,close_date,broker_name,property_type,loan_amount,orig_date,maturity_date,lender_name,loan_type,notes,entity_resolution_confidence,fired_rules,composite_score,rationale
Valley Forge Realty,sales_records,SR-1356,debt_records,DBT-2023-359,"$6,450,000",2024-03-07,Elena Ruiz,Industrial,7400000,12/04/2024,2026-12-24,First Capital Bank,Construction Loan,past due 35 days,0.9149,high_value_deal; loan_past_due; loan_maturing_soon,7,
Coastal Bend Ventures,sales_records,SR-1007,debt_records,DBT-2024-006,6700000,08/12/2024,R. Delgado,Office,6600000,"August 1, 2024",2032-02-15,Highline Lending,Term Loan,past due 79 days,1.0,high_value_deal; loan_past_due; strong_relationship_match,6,
Cornerstone Investors,sales_records,SR-1008,debt_records,DBT-2024-007,3100000,"December 8, 2024",S. Whitfield,Retail,5350000,01/29/2024,2025-09-16,Great Lakes Commercial Bank,Construction Loan,past due 63 days,1.0,high_value_deal; loan_past_due; strong_relationship_match,6,
Bayshore Capital,sales_records,SR-1148,debt_records,DBT-2024-149,7750000,03-Mar-24,R. Delgado,Land,2000000,07/14/2024,2025-06-15,Piedmont Triad Bank,Term Loan,past due 75 days,1.0,high_value_deal; loan_past_due; strong_relationship_match,6,
Windermere Residential,sales_records,SR-1181,debt_records,DBT-2024-186,"$12,350,000",2024-08-20,J. Alvarez,Industrial,"$3,100,000",06/01/2024,2025-10-22,Sandia Federal Bank,Bridge Loan,past due 26 days,0.9852,high_value_deal; loan_past_due; strong_relationship_match,6,
Underhill Investors,sales_records,SR-1027,debt_records,DBT-2024-032,4000000,06/13/2024,Priya Nair,Office,"$9,050,000",28-Sep-24,2027-06-08,Lowcountry Bank,Refinance,,1.0,high_value_deal; loan_maturing_soon; strong_relationship_match,5,
Birchwood Ventures,sales_records,SR-1086,debt_records,DBT-2024-088,3050000,18-Oct-24,S. Whitfield,Office,8800000,2024-09-24,2028-03-12,Empire State Trust,Construction Loan,,1.0,high_value_deal; loan_maturing_soon; strong_relationship_match,5,
Oakwood Industrial,sales_records,SR-1054,debt_records,DBT-2024-060,8750000,"December 13, 2024",Priya Nair,Retail,"$5,850,000","January 21, 2024",2028-01-16,Piedmont Triad Bank,Construction Loan,,1.0,high_value_deal; loan_maturing_soon; strong_relationship_match,5,
Coastal Bend Development,sales_records,SR-1056,debt_records,DBT-2024-062,12100000,"March 15, 2024",Derek Wu,Office,"$6,600,000",05/05/2024,2027-02-22,Sandia Federal Bank,Construction Loan,,1.0,high_value_deal; loan_maturing_soon; strong_relationship_match,5,
Coastal Bend Group,sales_records,SR-1044,debt_records,DBT-2024-049,6600000,06/20/2024,R. Delgado,Multifamily,6050000,19-Apr-24,2027-04-12,Empire State Trust,Refinance,,1.0,high_value_deal; loan_maturing_soon; strong_relationship_match,5,
